product_name,category,product_description,eco_friendly_score
Bamboo Toothbrush,Personal Care,A biodegradable toothbrush made from sustainable bamboo.,9.2
Reusable Cotton Pads,Personal Care,Eco-friendly pads for makeup removal and cleansing.,8.8
Solar Power Bank,Electronics,A portable power bank that uses solar energy to charge devices.,9.0
Compost Bin,Home & Kitchen,A countertop bin for collecting food scraps to compost.,8.5
Organic Cotton Tote Bag,Fashion,A reusable tote bag made from 100% organic cotton.,8.9
Beeswax Food Wrap,Kitchen,An alternative to plastic wrap made with beeswax and cotton.,9.1
Metal Straws,Kitchen,Durable and reusable stainless steel straws to replace plastic ones.,8.7
Eco Laundry Detergent,Household,A natural detergent that’s gentle on clothes and the planet.,9.0
LED Light Bulbs,Electronics,Energy-efficient bulbs that last longer and save electricity.,8.6
Plant-Based Shampoo,Personal Care,A chemical-free shampoo made with natural plant ingredients.,8.8
